GHCN_DIN,DATE,PRCP (10^-1 mm),SNOW (mm),TMAX (°C),TMIN (°C),ELEVATION (m),NAME,COORD (LAT),COORD (LONG),COUNTRY_CODE
AR000875850,14/10/2015,,,22.5,15,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,15/10/2015,150,,21.4,13,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,16/10/2015,0,,19.1,7.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,17/10/2015,,,19.1,8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,18/10/2015,,,,8.3,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,19/10/2015,,,20.4,12.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,20/10/2015,150,,,13.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,21/10/2015,0,,,12.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,22/10/2015,,,24.9,16,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,23/10/2015,,,26.2,8.3,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,24/10/2015,,,18.5,7.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,25/10/2015,0,,,12.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,26/10/2015,,,,15.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,27/10/2015,5,,,14.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,28/10/2015,0,,,17.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,29/10/2015,20,,26.2,,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,30/10/2015,160,,22.6,14.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,31/10/2015,0,,21.4,8.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,01/11/2015,,,20.1,13.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,02/11/2015,,,20,13.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,03/11/2015,,,,13.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,04/11/2015,,,22.2,13.1,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,05/11/2015,,,,9.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,06/11/2015,,,,12.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,07/11/2015,,,,15.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,08/11/2015,,,27.9,18.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,09/11/2015,,,27.8,18.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,10/11/2015,140,,29.1,17.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,11/11/2015,0,,28.4,17,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,12/11/2015,,,26.4,,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,13/11/2015,810,,22.4,14.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,14/11/2015,0,,,13.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,15/11/2015,,,29,20,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,16/11/2015,,,29.7,21,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,17/11/2015,330,,28.3,19,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,18/11/2015,10,,24.2,17.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,19/11/2015,20,,21.5,,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,20/11/2015,269,,,9.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,21/11/2015,0,,,13.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,22/11/2015,,,,14.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,23/11/2015,,,26.4,17.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,24/11/2015,,,23.2,16.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,25/11/2015,,,,17.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,26/11/2015,,,24.6,18,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,27/11/2015,650,,23.3,17.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,28/11/2015,79,,,14,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,29/11/2015,0,,,11.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,30/11/2015,,,,16.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,01/12/2015,,,31,20,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,02/12/2015,,,29.9,19.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,03/12/2015,,,28.2,20,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,04/12/2015,191,,28.4,20,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,05/12/2015,0,,27.3,18.3,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,06/12/2015,,,26.9,10.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,07/12/2015,,,,14.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,08/12/2015,,,,18.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,09/12/2015,61,,30.5,17.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,10/12/2015,0,,,19,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,11/12/2015,,,34.2,20.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,12/12/2015,,,34.4,24.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,13/12/2015,0,,32.7,20.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,14/12/2015,71,,33,19.1,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,15/12/2015,0,,28.5,17,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,16/12/2015,,,,19.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,17/12/2015,20,,31,20.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,18/12/2015,20,,28.3,18.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,19/12/2015,0,,28.4,14.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,20/12/2015,,,26.5,18.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,21/12/2015,3,,,20.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,22/12/2015,20,,30.2,19.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,23/12/2015,170,,,19.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,24/12/2015,0,,30.1,19.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,25/12/2015,,,30,21.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,26/12/2015,,,30.5,22.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,27/12/2015,,,,23.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,28/12/2015,,,,23.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,29/12/2015,,,34.4,25,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,30/12/2015,,,34,23.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,31/12/2015,,,32,23.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,01/01/2016,0,,29.2,22.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,02/01/2016,180,,,20.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,03/01/2016,0,,31,23.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,04/01/2016,,,,24.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,05/01/2016,10,,,22.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,06/01/2016,0,,32.2,17,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,07/01/2016,,,30,16.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,08/01/2016,0,,29,21.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,09/01/2016,,,29,20,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,10/01/2016,,,28.4,20,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,11/01/2016,20,,,20,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,12/01/2016,0,,,24,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,13/01/2016,0,,31.4,19,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,14/01/2016,,,,21.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,15/01/2016,,,,22,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,16/01/2016,,,34,21,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,17/01/2016,,,,23.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,18/01/2016,,,35.8,21,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,19/01/2016,,,29,21.7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,20/01/2016,,,30,22.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,21/01/2016,0,,30.2,23.7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,22/01/2016,,,,24.7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,23/01/2016,41,,37.5,21.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,24/01/2016,0,,,21.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,25/01/2016,71,,37.6,20,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,26/01/2016,0,,32.8,20.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,27/01/2016,,,29.1,17,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,28/01/2016,,,,21.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,29/01/2016,0,,30.7,23.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,30/01/2016,30,,29,21.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,31/01/2016,0,,29.3,18.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,01/02/2016,,,27.2,15.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,02/02/2016,,,,19.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,03/02/2016,,,29.7,22.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,04/02/2016,,,,22.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,05/02/2016,,,,23.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,06/02/2016,,,34,24.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,07/02/2016,,,32.6,,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,08/02/2016,399,,32,22.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,09/02/2016,99,,,19.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,10/02/2016,0,,35.6,22.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,11/02/2016,,,,22.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,12/02/2016,,,,25.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,13/02/2016,450,,35.4,22.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,14/02/2016,0,,31.9,19,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,15/02/2016,,,,21.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,16/02/2016,,,33.4,24,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,17/02/2016,391,,33.5,19.7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,18/02/2016,0,,,,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,19/02/2016,310,,32.7,,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,20/02/2016,30,,,17.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,21/02/2016,0,,,22.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,22/02/2016,,,30.8,23.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,23/02/2016,,,,23,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,24/02/2016,,,,22.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,25/02/2016,,,34.7,18.1,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,26/02/2016,71,,27.2,,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,27/02/2016,150,,,13.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,28/02/2016,0,,,17.7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,29/02/2016,,,30.6,18,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,01/03/2016,41,,28.8,20,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,02/03/2016,0,,22.4,18.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,03/03/2016,,,,19.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,04/03/2016,,,26,19.7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,05/03/2016,30,,27.8,17.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,06/03/2016,0,,25.2,12,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,07/03/2016,,,24,13.1,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,08/03/2016,,,,15.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,09/03/2016,,,27,,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,10/03/2016,,,24.7,14.7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,11/03/2016,3,,,14.1,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,12/03/2016,0,,24.6,14.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,13/03/2016,,,,15.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,14/03/2016,,,,15.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,15/03/2016,,,,18,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,16/03/2016,,,,22,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,17/03/2016,,,,22.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,18/03/2016,279,,33.3,19.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,19/03/2016,10,,26.7,11.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,20/03/2016,0,,22,14.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,21/03/2016,109,,21.8,15.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,22/03/2016,0,,,14,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,24/03/2016,,,26.6,15.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,25/03/2016,,,27.1,14.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,26/03/2016,,,,16.1,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,27/03/2016,,,,17.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,28/03/2016,,,,16.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,29/03/2016,,,,14.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,30/03/2016,,,29.9,16.7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,31/03/2016,,,27.9,20,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,01/04/2016,,,28.8,,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,02/04/2016,521,,,19.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,03/04/2016,99,,24.1,17.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,04/04/2016,10,,24.6,,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,05/04/2016,279,,,18,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,06/04/2016,150,,,17.3,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,07/04/2016,0,,22.8,14.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,08/04/2016,20,,23.1,17.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,09/04/2016,79,,22.3,15.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,10/04/2016,41,,20.9,13.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,11/04/2016,10,,,12.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,12/04/2016,0,,22,14.1,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,13/04/2016,61,,,16.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,14/04/2016,20,,,16.1,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,15/04/2016,41,,25.2,16.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,16/04/2016,279,,22.5,20.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,17/04/2016,0,,24.8,,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,18/04/2016,79,,,13,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,19/04/2016,330,,17.7,14.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,20/04/2016,30,,,11,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,21/04/2016,0,,,13,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,22/04/2016,,,25,11,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,23/04/2016,5,,20.9,17,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,24/04/2016,0,,22,16,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,25/04/2016,300,,20.9,11,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,26/04/2016,8,,,6.7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,27/04/2016,0,,14.7,4.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,28/04/2016,,,,4.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,29/04/2016,,,,7.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,30/04/2016,,,16.6,5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,01/05/2016,,,,6.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,02/05/2016,,,18.2,10.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,03/05/2016,,,19.8,8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,04/05/2016,,,,7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,05/05/2016,,,19.1,10.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,06/05/2016,30,,18.5,12.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,07/05/2016,0,,,9.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,08/05/2016,,,,10.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,09/05/2016,,,,12,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,10/05/2016,,,19.9,14.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,11/05/2016,0,,17.6,7.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,12/05/2016,,,15.8,7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,13/05/2016,,,,6.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,14/05/2016,,,,7.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,15/05/2016,3,,14.5,11.1,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,16/05/2016,30,,13.6,7.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,17/05/2016,0,,13.9,6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,18/05/2016,,,15,6.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,19/05/2016,,,15.2,6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,20/05/2016,,,,10.3,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,21/05/2016,,,16.3,8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,22/05/2016,,,,7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,23/05/2016,,,,4.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,24/05/2016,,,16.8,5.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,25/05/2016,,,17,11.1,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,26/05/2016,,,17.7,10.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,27/05/2016,,,16.4,10,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,28/05/2016,,,,11.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,29/05/2016,310,,16.1,13,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,30/05/2016,41,,15.2,12,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,31/05/2016,3,,14.4,10.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,01/06/2016,0,,14.4,7.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,02/06/2016,8,,14.8,6.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,03/06/2016,30,,,5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,04/06/2016,20,,16,6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,05/06/2016,0,,,6.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,06/06/2016,0,,,5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,07/06/2016,,,15.2,6.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,08/06/2016,,,15.6,4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,09/06/2016,,,13.8,2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,10/06/2016,8,,13.4,3,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,11/06/2016,0,,,2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,12/06/2016,,,,3.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,13/06/2016,,,16.4,4.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,14/06/2016,,,,4.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,15/06/2016,,,17,7.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,16/06/2016,,,,7.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,17/06/2016,,,,5.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,18/06/2016,,,,6.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,19/06/2016,,,18.8,5.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,20/06/2016,,,12.6,3.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,21/06/2016,,,,4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,22/06/2016,,,,5.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,23/06/2016,,,16.6,6.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,24/06/2016,,,17.1,7.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,25/06/2016,,,15.8,8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,26/06/2016,0,,12,8.3,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,27/06/2016,130,,,9.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,28/06/2016,61,,15.3,7.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,29/06/2016,0,,,7.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,30/06/2016,3,,,9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,01/07/2016,30,,18.3,12.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,02/07/2016,51,,16.7,,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,03/07/2016,399,,,11.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,04/07/2016,480,,13.8,10.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,05/07/2016,5,,11.7,8.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,06/07/2016,51,,,7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,07/07/2016,0,,,5.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,08/07/2016,,,19.5,5.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,09/07/2016,,,,9.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,10/07/2016,,,18.9,11.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
