GHCN_DIN,DATE,PRCP (10^-1 mm),SNOW (mm),TMAX (°C),TMIN (°C),ELEVATION (m),NAME,COORD (LAT),COORD (LONG),COUNTRY_CODE
AR000875850,02/03/2015,,,,17.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,03/03/2015,0,,31.3,19.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,04/03/2015,130,,,20.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,05/03/2015,0,,28.5,18.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,06/03/2015,,,,20.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,07/03/2015,,,29.8,19.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,08/03/2015,,,29.8,20.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,09/03/2015,,,30.1,20.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,10/03/2015,,,,23.1,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,11/03/2015,,,30.9,21.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,12/03/2015,,,,22,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,13/03/2015,,,31.5,21.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,14/03/2015,,,31.3,21.7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,15/03/2015,,,27.6,17.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,16/03/2015,,,,20.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,17/03/2015,,,,23,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,18/03/2015,,,32.9,22.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,19/03/2015,,,31,20.7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,20/03/2015,,,,20,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,21/03/2015,,,32.7,10.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,22/03/2015,,,24,12,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,23/03/2015,,,,13.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,24/03/2015,,,,13.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,25/03/2015,5,,22.6,15,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
